carrera;fecha;valor
c1;6;0
c1;13;0
c1;20;0
c1;27;0
c1;34;0
c1;41;0
c1;48;0
c1;55;0
c1;62;0
c1;69;0
c1;76;0
c1;83;0
c1;90;0
c1;97;0
c1;104;0
c1;111;0
c1;118;0
c1;125;0
c1;132;0
c1;139;0
c1;146;0
c1;153;0
c1;160;0
c1;167;0
c1;174;0
c1;181;0
c1;188;0
c1;195;0
c1;202;0
c1;209;0
c1;216;0
c1;223;0
c1;230;0
c1;237;0
c1;244;0
c1;251;0
c1;258;0
c1;265;0
c1;272;0
c1;279;0
c1;286;0
c1;293;0
c1;300;0
c1;307;0
c1;314;0
c1;321;0
c1;328;0
c1;335;0
c1;342;0
c1;349;0
c1;356;0
c1;363;0
c1;7;0
c1;14;0
c1;21;0
c1;28;0
c1;35;0
c1;42;0
c1;49;0
c1;56;0
c1;63;0
c1;70;0
c1;77;0
c1;84;0
c1;91;0
c1;98;0
c1;105;0
c1;112;0
c1;119;0
c1;126;0
c1;133;0
c1;140;0
c1;147;0
c1;154;0
c1;161;0
c1;168;0
c1;175;0
c1;182;0
c1;189;0
c1;196;0
c1;203;0
c1;210;0
c1;217;0
c1;224;0
c1;231;0
c1;238;0
c1;245;0
c1;252;0
c1;259;0
c1;266;0
c1;273;0
c1;280;0
c1;287;0
c1;294;0
c1;301;0
c1;308;0
c1;315;0
c1;322;0
c1;329;0
c1;336;0
c1;343;0
c1;350;0
c1;357;0
c1;364;1
c2;6;0
c2;13;0
c2;20;0
c2;27;0
c2;34;0
c2;41;0
c2;48;0
c2;55;0
c2;62;0
c2;69;0
c2;76;0
c2;83;0
c2;90;0
c2;97;0
c2;104;0
c2;111;0
c2;118;0
c2;125;0
c2;132;0
c2;139;0
c2;146;0
c2;153;0
c2;160;0
c2;167;0
c2;174;0
c2;181;0
c2;188;0
c2;195;0
c2;202;0
c2;209;0
c2;216;0
c2;223;0
c2;230;0
c2;237;0
c2;244;0
c2;251;1
c2;258;0
c2;265;0
c2;272;0
c2;279;0
c2;286;0
c2;293;0
c2;300;0
c2;307;0
c2;314;0
c2;321;0
c2;328;0
c2;335;0
c2;342;0
c2;349;0
c2;356;0
c2;363;0
c2;7;0
c2;14;0
c2;21;0
c2;28;0
c2;35;0
c2;42;0
c2;49;0
c2;56;0
c2;63;0
c2;70;0
c2;77;0
c2;84;0
c2;91;0
c2;98;0
c2;105;0
c2;112;0
c2;119;0
c2;126;0
c2;133;0
c2;140;0
c2;147;0
c2;154;0
c2;161;0
c2;168;0
c2;175;0
c2;182;0
c2;189;0
c2;196;0
c2;203;0
c2;210;0
c2;217;0
c2;224;0
c2;231;0
c2;238;0
c2;245;0
c2;252;0
c2;259;0
c2;266;0
c2;273;0
c2;280;0
c2;287;0
c2;294;0
c2;301;0
c2;308;0
c2;315;0
c2;322;0
c2;329;0
c2;336;0
c2;343;0
c2;350;0
c2;357;0
c2;364;0
c3;6;0
c3;13;0
c3;20;0
c3;27;0
c3;34;0
c3;41;0
c3;48;0
c3;55;0
c3;62;0
c3;69;0
c3;76;0
c3;83;0
c3;90;0
c3;97;0
c3;104;0
c3;111;0
c3;118;0
c3;125;0
c3;132;0
c3;139;0
c3;146;0
c3;153;0
c3;160;0
c3;167;0
c3;174;0
c3;181;0
c3;188;0
c3;195;0
c3;202;0
c3;209;0
c3;216;0
c3;223;0
c3;230;0
c3;237;0
c3;244;0
c3;251;0
c3;258;0
c3;265;0
c3;272;0
c3;279;0
c3;286;0
c3;293;0
c3;300;0
c3;307;0
c3;314;0
c3;321;0
c3;328;0
c3;335;0
c3;342;0
c3;349;0
c3;356;0
c3;363;0
c3;7;0
c3;14;0
c3;21;0
c3;28;0
c3;35;0
c3;42;0
c3;49;0
c3;56;0
c3;63;0
c3;70;0
c3;77;0
c3;84;0
c3;91;0
c3;98;0
c3;105;0
c3;112;0
c3;119;0
c3;126;0
c3;133;0
